customer_id,first_name,last_name,gender,dob,email,phone,city,state,zip_code
CUST00001,Name0,Surname0,Female,1979-11-14,user0@mail.com,9999900000,Seattle,WA,78737
CUST00002,Name1,Surname1,Male,1982-04-27,user1@mail.com,9999900001,Dallas,NY,14009
CUST00003,Name2,Surname2,Male,1979-05-12,user2@mail.com,9999900002,Seattle,WA,85352
CUST00004,Name3,Surname3,Male,1972-06-03,user3@mail.com,9999900003,Dallas,TX,98728
CUST00005,Name4,Surname4,Female,1994-10-25,user4@mail.com,9999900004,Seattle,FL,44184
CUST00006,Name5,Surname5,Male,1996-05-14,user5@mail.com,9999900005,Miami,FL,39811
CUST00007,Name6,Surname6,Female,1979-06-09,user6@mail.com,9999900006,New York,WA,34934
CUST00008,Name7,Surname7,Female,1989-12-02,user7@mail.com,9999900007,Seattle,WA,96987
CUST00009,Name8,Surname8,Male,1978-07-31,user8@mail.com,9999900008,Seattle,TX,46741
CUST00010,Name9,Surname9,Male,1972-01-20,user9@mail.com,9999900009,Seattle,WA,12012
CUST00011,Name10,Surname10,Male,1976-12-18,user10@mail.com,9999900010,Seattle,NY,80031
CUST00012,Name11,Surname11,Male,1999-08-18,user11@mail.com,9999900011,Seattle,FL,92631
CUST00013,Name12,Surname12,Male,1975-02-26,user12@mail.com,9999900012,Seattle,NY,24627
CUST00014,Name13,Surname13,Male,1983-09-17,user13@mail.com,9999900013,Los Angeles,CA,12492
CUST00015,Name14,Surname14,Female,1988-07-08,user14@mail.com,9999900014,Miami,FL,22312
CUST00016,Name15,Surname15,Male,1979-10-24,user15@mail.com,9999900015,Seattle,NY,31822
CUST00017,Name16,Surname16,Male,1986-06-21,user16@mail.com,9999900016,Miami,CA,14706
CUST00018,Name17,Surname17,Male,1995-10-06,user17@mail.com,9999900017,New York,NY,96421
CUST00019,Name18,Surname18,Male,1974-10-03,user18@mail.com,9999900018,Miami,CA,79840
CUST00020,Name19,Surname19,Male,1995-01-09,user19@mail.com,9999900019,Los Angeles,TX,57981
CUST00021,Name20,Surname20,Male,1978-07-25,user20@mail.com,9999900020,New York,CA,74493
CUST00022,Name21,Surname21,Male,1971-12-23,user21@mail.com,9999900021,Seattle,TX,56003
CUST00023,Name22,Surname22,Female,1983-08-08,user22@mail.com,9999900022,Miami,CA,64969
CUST00024,Name23,Surname23,Male,1998-08-10,user23@mail.com,9999900023,Los Angeles,WA,19715
CUST00025,Name24,Surname24,Male,1999-02-10,user24@mail.com,9999900024,Dallas,FL,38478
CUST00026,Name25,Surname25,Male,1996-02-20,user25@mail.com,9999900025,New York,TX,44547
CUST00027,Name26,Surname26,Female,1989-02-06,user26@mail.com,9999900026,Dallas,FL,10895
CUST00028,Name27,Surname27,Female,1992-04-22,user27@mail.com,9999900027,Dallas,TX,44546
CUST00029,Name28,Surname28,Male,1997-05-05,user28@mail.com,9999900028,Miami,WA,32050
CUST00030,Name29,Surname29,Female,1997-05-31,user29@mail.com,9999900029,Miami,TX,63900
CUST00031,Name30,Surname30,Female,1978-03-24,user30@mail.com,9999900030,Seattle,NY,97968
CUST00032,Name31,Surname31,Male,1983-06-07,user31@mail.com,9999900031,New York,WA,41334
CUST00033,Name32,Surname32,Male,1973-06-08,user32@mail.com,9999900032,Miami,FL,66376
CUST00034,Name33,Surname33,Male,1998-04-25,user33@mail.com,9999900033,Seattle,TX,24432
CUST00035,Name34,Surname34,Female,1985-10-20,user34@mail.com,9999900034,Miami,CA,83637
CUST00036,Name35,Surname35,Male,1999-07-04,user35@mail.com,9999900035,New York,NY,17959
CUST00037,Name36,Surname36,Male,1977-09-04,user36@mail.com,9999900036,Dallas,FL,35297
CUST00038,Name37,Surname37,Female,1986-03-05,user37@mail.com,9999900037,Seattle,NY,85131
CUST00039,Name38,Surname38,Female,1984-06-04,user38@mail.com,9999900038,Dallas,NY,53280
CUST00040,Name39,Surname39,Female,1978-08-23,user39@mail.com,9999900039,Miami,TX,11729
CUST00041,Name40,Surname40,Male,1974-06-23,user40@mail.com,9999900040,Miami,FL,14102
CUST00042,Name41,Surname41,Female,1986-08-22,user41@mail.com,9999900041,Miami,WA,16023
CUST00043,Name42,Surname42,Female,1980-08-21,user42@mail.com,9999900042,Dallas,TX,16921
CUST00044,Name43,Surname43,Male,1996-01-11,user43@mail.com,9999900043,Los Angeles,CA,35734
CUST00045,Name44,Surname44,Male,1996-08-02,user44@mail.com,9999900044,Miami,NY,85718
CUST00046,Name45,Surname45,Male,1986-08-01,user45@mail.com,9999900045,Miami,TX,60891
CUST00047,Name46,Surname46,Female,1988-07-01,user46@mail.com,9999900046,Dallas,FL,18641
CUST00048,Name47,Surname47,Female,1990-04-01,user47@mail.com,9999900047,New York,CA,19912
CUST00049,Name48,Surname48,Female,1981-10-07,user48@mail.com,9999900048,New York,CA,37257
CUST00050,Name49,Surname49,Male,1991-10-20,user49@mail.com,9999900049,Miami,FL,89270
CUST00051,Name50,Surname50,Male,1970-08-29,user50@mail.com,9999900050,Miami,TX,21040
