customer_id,first_name,last_name,email,phone,created_at
1,User204,Test,user204@mail.com,9463622937,2026-05-25 07:11:40
2,User800,Test,user800@mail.com,9453914469,2026-05-25 07:12:12
3,User949,Test,user949@mail.com,9336296174,2026-05-25 07:13:11
4,User534,Test,user534@mail.com,9253410646,2026-05-25 07:13:25
5,User230,Test,user230@mail.com,9867980181,2026-05-25 07:13:45
6,User164,Test,user164@mail.com,9289685924,2026-05-25 07:13:59
7,User810,Test,user810@mail.com,9704004094,2026-05-25 07:14:21
8,User127,Test,user127@mail.com,9343373551,2026-05-25 07:15:01
9,User631,Test,user631@mail.com,9651267759,2026-05-25 07:15:14
10,User92,Test,user92@mail.com,9986020802,2026-05-25 07:15:38
11,User139,Test,user139@mail.com,9776371821,2026-05-25 07:15:48
12,User820,Test,user820@mail.com,9936795673,2026-05-25 07:15:52
13,User907,Test,user907@mail.com,9233214235,2026-05-25 07:16:50
14,User832,Test,user832@mail.com,9804835831,2026-05-25 07:17:02
15,User142,Test,user142@mail.com,9548468184,2026-05-25 07:17:16
16,User900,Test,user900@mail.com,9203241559,2026-05-25 07:17:20
17,User534,Test,user534@mail.com,9693644762,2026-05-25 07:17:34
18,User642,Test,user642@mail.com,9241248430,2026-05-25 07:17:56
19,User832,Test,user832@mail.com,9595597398,2026-05-25 07:18:18
20,User278,Test,user278@mail.com,9444767859,2026-05-25 07:19:21
21,User441,Test,user441@mail.com,9407803047,2026-05-25 07:19:23
22,User375,Test,user375@mail.com,9246207855,2026-05-25 07:19:29
23,User160,Test,user160@mail.com,9520108256,2026-05-25 07:19:35
24,User434,Test,user434@mail.com,9423379820,2026-05-25 07:19:41
25,User835,Test,user835@mail.com,9294565327,2026-05-25 07:20:33
26,User487,Test,user487@mail.com,9441152665,2026-05-25 07:20:59
27,User120,Test,user120@mail.com,9706963224,2026-05-25 07:21:01
28,User466,Test,user466@mail.com,9847853732,2026-05-25 07:21:05
29,User324,Test,user324@mail.com,9897576365,2026-05-25 07:21:23
